Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
acer Aspire 7 Ryzen 5 Quad Core 3550H ,50890,4.5,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
Lenovo Ideapad S145 APU Dual Core A6 A6,25990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,APU,Windows 10
MSI GF63 Thin Core i5 9th Gen ,52990,4.4,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,9,8,SSD,Intel,i5,Windows 10
DELL Inspiron Ryzen 3 Dual Core 3250U ,36790,4.2,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,Not Mentioned,4,Both,AMD,Ryzen 3,Windows 10
HP 15s Athlon Dual Core ,25690,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
Lenovo IdeaPad 3 Core i3 10th Gen ,34990,4.8,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i3,Windows 10
DELL Inspiron Core i5 11th Gen ,61874,4.4,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,8,SSD,Intel,i5,Windows 10
Lenovo ThinkPad E15 Core i5 11th Gen ,60990,4.9,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
DELL Inspiron Pentium Quad Core ,31490,4.4,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,Not Mentioned,4,SSD,Intel,Pentium,Windows 10
HP 15s Pentium Gold ,25990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,Not Metioned,Not Metioned,Windows 10
APPLE MacBook Air M1 ,109990,4.8,33.78 cm (13.3 inch) Display,,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen ,49990,4.5,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,No,Lenovo,No,5,8,SSD,AMD,Ryzen 5,Windows 10
APPLE MacBook Pro M1 ,114990,4.8,33.78 cm (13.3 inch) Display,,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
Lenovo Ideapad S145 Core i5 10th Gen ,40990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
HP Pavilion x360 Core i3 10th Gen ,44990,4.4,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
HP 15s Core i5 11th Gen ,60990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,8,Both,Intel,i5,Windows 10
Lenovo Ideapad S145 Core i5 10th Gen ,46990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook S S13 Core i5 11th Gen ,53990,4.4,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad Slim 5i Core i5 11th Gen ,58990,4.9,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
HP 15s Ryzen 3 Quad Core 4300U ,35990,4.4,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 3,Windows 10
ASUS Celeron Dual Core ,20990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,4,HDD,Intel,Celeron,Windows 10
Lenovo IdeaPad Gaming 3i Core i5 10th Gen ,61990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
APPLE MacBook Air Core i5 5th Gen ,74990,4.7,33.78 cm (13.3 inch) Display,1 Year Carry In Warranty,No,Apple,No,5,8,SSD,Intel,i5,Mac
HP 14s Core i3 11th Gen ,37990,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,SSD,Intel,i3,Windows 10
Lenovo Ideapad 3 Core i5 10th Gen ,43990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
HP 15s Celeron Dual Core ,23990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,Intel,Celeron,Windows 10
HP Pavilion x360 Core i3 11th Gen ,48990,4.3,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
MSI GF65 Thin Core i5 9th Gen ,71990,4.6,"Matrix Display, Dragon Center, Cooler Boost 5, True Color 2.0, Nahimic 3",2 Year Warranty,Yes,MSI,No,9,16,SSD,Intel,i5,Windows 10
