Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H ,64988,4.3,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
Lenovo ThinkPad E14 Core i5 10th Gen ,59990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
HP Pavilion x360 Core i5 10th Gen ,65999,4.5,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad 3 Core i5 10th Gen ,48990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
acer Aspire 3 Core i3 10th Gen ,33990,3.9,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,4,HDD,Intel,i3,Windows 10
MSI Modern 14 Ryzen 5 Hexa Core 4500U ,47990,4.7,35.56 cm (14 Inches) Display,1 Year Carry-In Warranty,No,MSI,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
acer Aspire 5 Core i3 10th Gen ,37890,4.3,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,4,SSD,Intel,i3,Windows 10
ASUS ROG Zephyrus G14 Ryzen 9 Octa Core 4900HS ,114990,,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,Yes,Asus,No,Not Mentioned,16,SSD,AMD,Not Metioned,Windows 10
HP 14s Core i5 11th Gen ,52990,3.9,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,No,HP,No,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook 14 Core i7 11th Gen ,96890,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
DELL Inspiron Core i3 10th Gen ,55990,4.5,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,Yes,10,4,Both,Intel,i3,Windows 10
DELL Inspiron Ryzen 3 Dual Core 3250U ,36490,,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,No,Dell,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
HP Chromebook x360 Core i3 10th Gen ,39990,4.4,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,4,Not Metioned,Intel,i3,Mac
ASUS ZenBook Duo Core i7 10th Gen ,112890,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Ideapad 3 Core i5 10th Gen ,43990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
HP 14s Core i7 10th Gen ,72990,4.6,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,SSD,Intel,i7,Windows 10
acer Swift 3 Core i5 10th Gen ,64990,4.5,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook 14 Ryzen 7 Octa Core 4700U ,54890,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
Lenovo Yoga 6 Ryzen 7 Octa Core 4700U ,78990,4.7,33.78 cm (13.3 inches) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,Not Mentioned,16,SSD,AMD,Ryzen 7,Windows 10
Lenovo Ideapad S340 Core i5 10th Gen ,56990,4.6,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
acer P2 Series Core i5 11th Gen ,54990,,39.62 cm (15.6 inches) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,16,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,59990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook Duo 14 (2021) Core i5 11th Gen ,99990,,35.56 cm (14 inches) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
HP 14s Core i5 11th Gen ,58990,,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,No,HP,No,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook 13 Core i5 8th Gen ,59990,4.4,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i5,Windows 10
HP Envy x360 Ryzen 5 Hexa Core 4500U ,73990,4.6,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
MICROSOFT Surface Laptop 3 Core i5 10th Gen ,89990,4.6,34.29 cm (13.5 inch) Touchscreen Display,1 Year Limited Hardware Warranty,No,MICROSOFT,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook 13 Core i7 11th Gen ,99890,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
ASUS VivoBook 14 Core i3 10th Gen ,41989,4.8,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
APPLE MacBook Pro M1 ,133990,4.7,33.78 cm (13.3 inch) Display,,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
MSI Modern 14 Core i3 10th Gen ,38990,4.5,35.56 cm (14 inch) Display,1 Year Carry In Warranty,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U ,27990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,174900,4.8,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,10,16,SSD,Intel,i5,Mac
ALIENWARE Core i7 10th Gen ,174990,5.0,39.62 cm (15.6 inch) Display,1 Year Complete Cover Warranty,Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,159990,4.7,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,10,16,SSD,Intel,i5,Mac
APPLE MacBook Air Core i5 10th Gen ,99990,4.4,33.78 cm (13.3 inch) Display,1 Year Limited Warranty,No,Apple,No,10,8,SSD,Intel,i5,Mac
ASUS ZenBook Pro Duo Core i7 9th Gen ,159990,,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,Asus,Yes,9,32,SSD,Intel,i7,Windows 10
APPLE MacBook Air Core i5 10th Gen ,99990,4.4,33.78 cm (13.3 inch) Display,1 Year Limited Warranty,No,Apple,No,10,8,SSD,Intel,i5,Mac
APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,174900,4.7,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,10,16,SSD,Intel,i5,Mac
LG Gram 14 Core i5 10th Gen ,59890,4.5,35.56 cm (14 inch) Display,3 Years Manufacturer Warranty,No,LG,No,10,8,SSD,Intel,i5,Windows 10
HP 15s Ryzen 3 Dual Core 3250U ,30990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
DELL Inspiron Core i5 11th Gen ,82190,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
Lenovo ThinkPad E15 Core i3 11th Gen ,42990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,SSD,Intel,i3,Windows 10
acer P2 Series Core i3 11th Gen ,38490,,39.62 cm (15.6 inches) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,HDD,Intel,i3,Windows 10
DELL Inspiron Core i5 11th Gen ,62190,,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,Yes,Dell,No,10,8,Both,Intel,i5,Windows 10
Lenovo IdeaPad 3 Core i5 10th Gen ,41990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
ASUS VivoBook 15 (2020) Core i5 10th Gen ,46990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
HP Spectre x360 Core i7 10th Gen ,179990,4.2,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,16,SSD,Intel,i7,Windows 10
ASUS Ryzen 3 Dual Core 3250U ,33690,3.3,39.62 cm (15.6 inches) Display,,No,Asus,No,Not Mentioned,4,SSD,AMD,Ryzen 3,Windows 10
ASUS VivoBook Flip 14 Core i3 10th Gen ,46990,4.3,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,10,4,SSD,Intel,i3,Windows 10
HP Chromebook 14a Celeron Dual Core ,24990,3.8,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,Not Mentioned,4,Not Metioned,Intel,Celeron,Mac
acer Predator Helios 300 Core i7 10th Gen ,150490,4.5,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty,Yes,Acer,No,10,16,SSD,Intel,i7,Windows 10
HP 15s Core i3 11th Gen ,38990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,HDD,Intel,i3,Windows 10
ASUS ROG Strix G15 Core i5 10th Gen ,72890,4.6,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI GL65 Leopard Core i7 10th Gen ,109990,4.5,"Matrix Display, Dragon Center, Cooler Boost 5, True Color 2.0, Nahimic 3",2 Year Warranty,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
ASUS Core i5 11th Gen ,53990,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
acer P2 Series Core i3 11th Gen ,38990,,39.62 cm (15.6 inches) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,SSD,Intel,i3,Windows 10
Lenovo ThinkPad E14 Core i7 10th Gen ,79990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,Both,Intel,i7,Windows 10
ASUS ROG Strix G15 Core i7 10th Gen ,99990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
Lenovo IdeaPad Flex 5 Core i7 11th Gen ,87990,4.2,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,10,16,SSD,Intel,i7,Windows 10
acer Nitro 5 Core i5 10th Gen ,66990,4.4,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,10,8,Both,Intel,i5,Windows 10
MSI GP65 Leopard Core i7 10th Gen ,139990,4.4,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,Yes,MSI,No,10,32,Both,Intel,i7,Windows 10
DELL G7 Core i9 10th Gen ,207890,5.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Dell,No,10,16,SSD,Intel,i9,Windows 10
ASUS ZenBook 14 Core i5 11th Gen ,72990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Core i3 11th Gen ,49990,,35.56 cm (14 Inches) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,10,8,SSD,Intel,i3,Windows 10
DELL Inspiron Core i3 11th Gen ,52490,3.4,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,Yes,10,4,SSD,Intel,i3,Windows 10
HP Spectre x360 Core i5 10th Gen ,99990,4.5,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,59990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI Modern 14 Core i3 10th Gen ,36990,4.7,35.56 cm (14 inch) Display,1 Year Carry In Warranty,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
Mi Notebook Horizon Edition 14 Core i7 10th Gen ,59999,4.4,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty from the Date of Purchase,Yes,Asus,No,10,8,SSD,Intel,i7,Windows 10
HP Pavilion Gaming Ryzen 5 Quad Core 3550H ,57990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
Lenovo ThinkPad E15 Core i5 11th Gen ,68990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ASUS ExpertBook B9 Core i7 10th Gen ,154990,,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
acer Nitro 5 Ryzen 5 Hexa Core 4600H ,62990,,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,Not Mentioned,8,Both,AMD,Ryzen 5,Windows 10
ASUS VivoBook S14 Ryzen 7 Octa Core 4700U ,67490,3.7,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
DELL Inspiron 3000 Core i3 10th Gen ,40999,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,4,SSD,Intel,i3,Windows 10
ASUS ZenBook Duo Core i7 10th Gen ,124990,5.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
MSI GP65 Leopard Core i7 10th Gen ,96990,4.3,"SHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker",2 Year Warranty Term for Gaming,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
HP Ryzen 5 Quad Core ,34890,4.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 5,DOS
HP 15s Ryzen 5 Quad Core 3500U ,45990,4.4,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
MSI GE66 Raider Core i7 10th Gen ,194990,,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,10,32,SSD,Intel,i7,Windows 10
Lenovo Ideapad S145 Ryzen 5 Quad Core 3500U ,44488,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
acer Predator Helios 300 Core i7 10th Gen ,106990,4.6,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,Yes,Acer,No,10,16,Both,Intel,i7,Windows 10
Lenovo ThinkPad E15 Core i5 11th Gen ,61990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 4800H ,72858,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
ASUS ZenBook Flip 14 Ryzen 7 Quad Core 3700U ,74910,4.0,"Asus Splendid, ATK Package (Asus on Screen Display), Asus Live Update, Microsoft Office Home and Student 2019",1 Year Limited International Hardware Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
ASUS TUF Gaming F17 Core i5 10th Gen ,74990,4.6,43.94 cm (17.3 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
acer ConceptD 5 Core i5 8th Gen ,74990,,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,8,8,SSD,Intel,i5,Windows 10
HP 14a Celeron Dual Core ,24990,3.7,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,Not Mentioned,4,Not Metioned,Intel,Celeron,Mac
ASUS ZenBook Duo Core i5 10th Gen ,79990,4.5,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
APPLE MacBook Pro Core i7 9th Gen ,195902,4.7,40.64 cm (16 inch) Display,1 Year Onsite Warranty,Yes,Apple,No,9,16,SSD,Intel,i7,Mac
MSI GS66 Stealth Core i7 10th Gen ,119990,,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
ASUS Core i5 10th Gen ,55990,,35.56 cm (14 inches) Touchscreen Display,,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook Duo Core i5 10th Gen ,86990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo V15 AMD Ryzen 3 Dual Core 3250U ,28490,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,DOS
DELL Inspiron 13 5000 Core i7 8th Gen ,70999,4.2,33.02 cm (13 inch) Display,1 Year Onsite Warranty,Yes,Dell,No,8,8,SSD,Intel,i7,Windows 10
APPLE MacBook Pro Core i9 9th Gen ,224900,4.4,40.64 cm (16 inch) Display,1 Year Onsite Warranty,Yes,Apple,No,9,16,SSD,Intel,i9,Mac
Lenovo Ideapad Gaming 3 Core i5 10th Gen ,69298,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i3 11th Gen ,37990,4.3,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
Avita Liber V14 Ryzen 5 Quad Core 3500U ,34990,4.2,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),No,Avita,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP Core i3 11th Gen ,45490,4.3,39.62 cm (15.6 inches) Display,1 Year Domestic Brand Warranty on Device,No,HP,No,10,8,SSD,Intel,i3,Windows 10
ASUS ROG Zephyrus S Core i7 9th Gen ,169990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,9,24,SSD,Intel,i7,Windows 10
ASUS ZenBook 13 Core i7 8th Gen ,69990,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,59990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
LG Gram 15 Core i5 10th Gen ,75990,4.7,39.62 cm (15.6 inch) Display,3 Years Manufacturer Warranty,No,LG,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook S S14 Core i5 11th Gen ,62890,5.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook S S14 Core i5 11th Gen ,62890,5.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS ROGÂ StrixÂ Scar 17 Core i9 10th Gen ,239990,,43.94 cm (17.3 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,32,SSD,Intel,i9,Windows 10
ASUS VivoBook Gaming Core i5 9th Gen ,59890,4.6,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,9,8,Both,Intel,i5,Windows 10
Avita Liber Core i5 10th Gen ,52990,4.2,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),No,Avita,No,10,8,SSD,Intel,i5,Windows 10
ASUS Core i3 11th Gen ,44890,,39.62 cm (15.6 inch) Display,,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
Lenovo Legion 5 Core i5 10th Gen ,68990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ASUS Ryzen 5 Hexa Core ,60990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,Both,AMD,Ryzen 5,Windows 10
APPLE MacBook Air Core i5 10th Gen ,105990,4.4,33.78 cm (13.3 inch) Display,1 Year Limited Warranty,No,Apple,No,10,8,SSD,Intel,i5,Mac
DELL XPS Core i7 10th Gen ,200890,,39.62 cm (15.6 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,Yes,10,16,SSD,Intel,i7,Windows 10
Lenovo Thinpad E14 Core i5 10th Gen ,57978,,35.56 cm (14 inch) Display,,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
ASUS ZenBook Duo Core i5 10th Gen ,79990,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI Modern 14 Core i5 10th Gen ,47990,4.4,35.56 cm (14 inch) Display,1 Year Carry In Warranty,No,MSI,No,10,8,SSD,Intel,i5,Windows 10
acer Swift 7 Core i5 7th Gen ,69990,4.5,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,7,8,SSD,Intel,i5,Windows 10
DELL XPS 13 Core i7 8th Gen ,114990,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Dell,No,8,16,SSD,Intel,i7,Windows 10
acer Aspire 5 Ryzen 5 Hexa Core 5500U ,54990,,39.62 cm (15.6 inches) Display,One-year International Travelers Warranty (ITW),No,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP Envy Core i7 10th Gen ,129990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,16,SSD,Intel,i7,Windows 10
acer Aspire 5 Core i3 11th Gen ,38990,3.5,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,4,HDD,Intel,i3,Windows 10
MSI Prestige 14 Core i7 10th Gen ,92990,4.0,35.56 cm (14 inch) Display,1 Year Carry In Warranty,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Ideapad S145 Core i5 10th Gen ,52820,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
DELL Inspiron Core i5 11th Gen ,83490,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,Yes,Dell,No,10,8,SSD,Intel,i5,Windows 10
HP Pavilion Gaming Core i5 10th Gen ,83990,4.8,40.89 cm (16.1 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,8,Both,Intel,i5,Windows 10
APPLE MacBook Pro Core i9 9th Gen ,224900,4.7,40.64 cm (16 inch) Display,1 Year Onsite Warranty,Yes,Apple,No,9,16,SSD,Intel,i9,Mac
APPLE MacBook Pro Core i5 8th Gen ,165990,4.4,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Apple,No,8,8,SSD,Intel,i5,Mac
ASUS ZenBook 13 Core i7 8th Gen ,69990,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
ASUS Athlon Dual Core 3050U ,26990,3.8,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
ALIENWARE Core i9 10th Gen ,299990,4.9,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,ALIENWARE,No,10,32,SSD,Intel,i9,Windows 10
DELL XPS Core i5 10th Gen ,142567,,33.78 cm (13.3 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad S145 Ryzen 5 Quad Core 3500U ,36990,3.8,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 5,Windows 10
MSI Modern 14 Core i7 10th Gen ,79990,4.9,35.56 cm (14 inch) Display,1 Year Carry In Warranty,Yes,MSI,No,10,8,SSD,Intel,i7,Windows 10
Lenovo Ideapad 3 Athlon Dual Core 3050U ,27990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
ASUS ROG Strix G15 (2020) Core i5 10th Gen ,79990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
HP Chromebook MT8183 ,21990,4.2,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,Not Mentioned,4,Not Metioned,Not Metioned,Not Metioned,Mac
MSI GS75 Stealth Core i9 10th Gen ,244990,,43.94 cm (17.3 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,10,32,SSD,Intel,i9,Windows 10
ASUS Core i5 10th Gen ,46890,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,4,HDD,Intel,i5,Windows 10
HP Pavilion Laptop 15,67990,4.5,39.62 cm (15.6 inch) Display,1 Year Standard Warranty,Yes,HP,No,10,16,SSD,Intel,i5,Windows 10
Lenovo ThinkPad x390 Core i7 10th Gen ,129703,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i7,Windows 10
APPLE MacBook Pro Core i5 8th Gen ,112040,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,HP,No,8,8,SSD,Intel,i5,Mac
HP Pavilion x360 Core i7 11th Gen ,80990,4.5,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i7,Windows 10
DELL XPS Core i5 11th Gen Intel EVO ,151999,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
ASUS Core i9 10th Gen ,269990,,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,Asus,Yes,10,32,SSD,Intel,i9,Windows 10
Lenovo Ideapad S145 Core i3 10th Gen ,30990,3.8,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,HDD,Intel,i3,DOS
