Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
44990,4.0,No,Asus,No,10,8,HDD,Intel,i5,Windows 10
41790,4.204958677685946,No,Dell,No,10,4,SSD,Intel,i3,Windows 10
96990,4.5,No,Apple,No,8,8,SSD,Intel,i5,Mac
69990,4.3,No,Dell,Yes,10,8,SSD,Intel,i5,Windows 10
88990,4.3,Yes,Dell,No,10,16,Both,Intel,i7,Windows 10
22990,4.0,No,Acer,No,Not Mentioned,4,HDD,Not Metioned,Not Metioned,Windows 10
55491,4.4,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
89890,4.5,Yes,MSI,No,9,16,SSD,Intel,i7,Windows 10
58990,5.0,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
92990,4.5,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
57890,4.5,No,Dell,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
34990,4.204958677685946,No,Dell,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
69990,4.3,Yes,Asus,No,9,16,SSD,Intel,i7,Windows 10
44999,4.3,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
42990,3.9,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
59990,4.4,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
31490,4.0,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
54890,4.6,No,Nokia,No,10,8,SSD,Intel,i5,Windows 10
65990,4.204958677685946,Yes,Lenovo,No,9,8,Both,Intel,i7,Windows 10
69890,4.5,Yes,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
38350,4.1,No,Dell,No,10,8,HDD,Intel,i3,Windows 10
56990,4.5,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
76990,4.4,Yes,Asus,No,9,8,SSD,Intel,i5,Windows 10
41990,4.7,No,HP,No,10,8,SSD,Intel,i3,Windows 10
50990,4.204958677685946,No,Acer,No,10,8,SSD,Intel,i5,Windows 10
57990,4.5,No,Lenovo,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
62990,4.2,No,HP,No,10,16,SSD,Intel,i5,Windows 10
